Provider type,State/territory of delivery location,Age group,Previous highest education level,Level of education, Year, 2019, 2020, 2021, 2022, 2023
TAFE institutes,Queensland,15 to 19 years,Year 10,Certificate I,,"1,995","1,985","2,150","1,790","1,565"
TAFE institutes,Queensland,15 to 19 years,Year 10,Non-AQF level,,120,165,110,80,70
TAFE institutes,Queensland,15 to 19 years,Certificate I,Totals,,65,70,60,65,65
TAFE institutes,Queensland,15 to 19 years,Certificate I,Diploma,,-,-,-,-,5
TAFE institutes,Queensland,15 to 19 years,Certificate I,Certificate III,,15,20,15,20,15
TAFE institutes,Queensland,15 to 19 years,Certificate I,Certificate II,,30,30,25,30,25
TAFE institutes,Queensland,15 to 19 years,Certificate I,Certificate I,,20,10,15,15,20
TAFE institutes,Queensland,15 to 19 years,Certificate I,Non-AQF level,,-,5,-,-,-
TAFE institutes,Queensland,15 to 19 years,Miscellaneous education,Totals,,30,40,65,25,35
TAFE institutes,Queensland,15 to 19 years,Miscellaneous education,Diploma,,5,-,5,-,-
TAFE institutes,Queensland,15 to 19 years,Miscellaneous education,Certificate IV,,-,5,-,-,-
TAFE institutes,Queensland,15 to 19 years,Miscellaneous education,Certificate III,,10,15,10,5,10
TAFE institutes,Queensland,15 to 19 years,Miscellaneous education,Certificate II,,10,15,35,15,25
TAFE institutes,Queensland,15 to 19 years,Miscellaneous education,Certificate I,,5,5,15,5,5
TAFE institutes,Queensland,15 to 19 years,Miscellaneous education,Non-AQF level,,-,5,-,-,-
TAFE institutes,Queensland,15 to 19 years,Year 9 or lower,Totals,,"8,985","10,645","11,985","13,625","13,915"
TAFE institutes,Queensland,15 to 19 years,Year 9 or lower,Diploma,,65,80,70,65,95
TAFE institutes,Queensland,15 to 19 years,Year 9 or lower,Certificate IV,,25,50,60,70,95
TAFE institutes,Queensland,15 to 19 years,Year 9 or lower,Certificate III,,910,995,"1,415","1,780","1,865"
TAFE institutes,Queensland,15 to 19 years,Year 9 or lower,Certificate II,,"4,215","5,890","7,425","7,800","9,275"
TAFE institutes,Queensland,15 to 19 years,Year 9 or lower,Certificate I,,"3,615","3,495","2,865","3,800","2,465"
TAFE institutes,Queensland,15 to 19 years,Year 9 or lower,Non-AQF level,,150,130,145,110,125
TAFE institutes,Queensland,15 to 19 years,Did not go to school,Totals,,35,40,40,20,35
TAFE institutes,Queensland,15 to 19 years,Did not go to school,Diploma,,-,-,-,-,5
TAFE institutes,Queensland,15 to 19 years,Did not go to school,Certificate III,,-,5,5,5,15
TAFE institutes,Queensland,15 to 19 years,Did not go to school,Certificate II,,5,-,5,5,5
TAFE institutes,Queensland,15 to 19 years,Did not go to school,Certificate I,,5,-,5,-,5
TAFE institutes,Queensland,15 to 19 years,Did not go to school,Non-AQF level,,25,35,25,10,5
