Provider type,State/territory of delivery location,Age group,Previous highest education level,Level of education, Year, 2019, 2020, 2021, 2022, 2023
Private training providers,Victoria,15 to 19 years,Certificate I,Non-AQF level,,-,-,-,-,5
Private training providers,Victoria,15 to 19 years,Miscellaneous education,Totals,,225,185,160,195,190
Private training providers,Victoria,15 to 19 years,Miscellaneous education,Diploma,,5,-,5,5,5
Private training providers,Victoria,15 to 19 years,Miscellaneous education,Certificate IV,,-,-,5,10,5
Private training providers,Victoria,15 to 19 years,Miscellaneous education,Certificate III,,40,75,75,65,45
Private training providers,Victoria,15 to 19 years,Miscellaneous education,Certificate II,,30,45,65,50,55
Private training providers,Victoria,15 to 19 years,Miscellaneous education,Certificate I,,-,5,5,5,10
Private training providers,Victoria,15 to 19 years,Miscellaneous education,Non-AQF level,,145,60,5,70,75
Private training providers,Victoria,15 to 19 years,Year 9 or lower,Totals,,"7,470","8,305","9,765","10,535","9,410"
Private training providers,Victoria,15 to 19 years,Year 9 or lower,Advanced diploma,,10,15,10,-,-
Private training providers,Victoria,15 to 19 years,Year 9 or lower,Diploma,,55,45,25,10,30
Private training providers,Victoria,15 to 19 years,Year 9 or lower,Certificate IV,,75,65,50,60,35
Private training providers,Victoria,15 to 19 years,Year 9 or lower,Certificate III,,"3,940","3,925","4,085","4,525","3,910"
Private training providers,Victoria,15 to 19 years,Year 9 or lower,Certificate II,,"2,940","3,860","5,040","5,030","4,165"
Private training providers,Victoria,15 to 19 years,Year 9 or lower,Certificate I,,370,330,395,400,580
Private training providers,Victoria,15 to 19 years,Year 9 or lower,Non-AQF level,,85,70,165,505,695
Private training providers,Victoria,15 to 19 years,Did not go to school,Totals,,10,20,20,25,15
Private training providers,Victoria,15 to 19 years,Did not go to school,Diploma,,-,-,-,5,5
Private training providers,Victoria,15 to 19 years,Did not go to school,Certificate IV,,-,5,-,-,-
Private training providers,Victoria,15 to 19 years,Did not go to school,Certificate III,,5,10,10,10,5
Private training providers,Victoria,15 to 19 years,Did not go to school,Certificate II,,-,5,5,5,5
Private training providers,Victoria,15 to 19 years,Did not go to school,Non-AQF level,,-,-,-,5,5
Private training providers,Victoria,15 to 19 years,Not known,Totals,,"3,310","1,390","1,085","4,570","9,375"
Private training providers,Victoria,15 to 19 years,Not known,Graduate diploma,,-,-,10,20,-
Private training providers,Victoria,15 to 19 years,Not known,Advanced diploma,,10,30,40,50,120
Private training providers,Victoria,15 to 19 years,Not known,Diploma,,370,230,135,135,300
Private training providers,Victoria,15 to 19 years,Not known,Certificate IV,,215,145,145,385,760
Private training providers,Victoria,15 to 19 years,Not known,Certificate III,,960,585,445,"1,535","3,110"
Private training providers,Victoria,15 to 19 years,Not known,Certificate II,,"1,530",255,170,"1,810","4,385"
Private training providers,Victoria,15 to 19 years,Not known,Certificate I,,35,-,-,15,65
Private training providers,Victoria,15 to 19 years,Not known,Non-AQF level,,185,140,140,625,640
Private training providers,Queensland,Totals,,,,"103,510","110,475","119,710","120,730","127,165"
Private training providers,Queensland,15 to 19 years,Totals,,,"103,510","110,475","119,710","120,730","127,165"
Private training providers,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Totals,,140,105,90,85,150
Private training providers,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Advanced diploma,,-,-,-,-,5
Private training providers,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Diploma,,15,10,5,5,10
Private training providers,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Certificate IV,,20,25,20,20,25
Private training providers,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,60,40,40,40,55
Private training providers,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Certificate II,,25,15,5,15,30
Private training providers,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Certificate I,,-,-,5,-,-
Private training providers,Queensland,15 to 19 years,Bachelor degree / Higher degree level,Non-AQF level,,15,10,15,10,20
Private training providers,Queensland,15 to 19 years,Advanced diploma / Associate degree,Totals,,40,55,45,45,30
Private training providers,Queensland,15 to 19 years,Advanced diploma / Associate degree,Diploma,,5,10,10,5,5
Private training providers,Queensland,15 to 19 years,Advanced diploma / Associate degree,Certificate IV,,5,10,10,10,5
Private training providers,Queensland,15 to 19 years,Advanced diploma / Associate degree,Certificate III,,15,20,15,15,10
Private training providers,Queensland,15 to 19 years,Advanced diploma / Associate degree,Certificate II,,10,10,10,10,5
Private training providers,Queensland,15 to 19 years,Advanced diploma / Associate degree,Non-AQF level,,-,5,-,5,5
Private training providers,Queensland,15 to 19 years,Diploma,Totals,,760,855,"1,045",850,770
Private training providers,Queensland,15 to 19 years,Diploma,Advanced diploma,,15,20,15,20,10
Private training providers,Queensland,15 to 19 years,Diploma,Diploma,,175,190,270,205,190
Private training providers,Queensland,15 to 19 years,Diploma,Certificate IV,,90,100,130,100,80
Private training providers,Queensland,15 to 19 years,Diploma,Certificate III,,305,330,355,310,300
Private training providers,Queensland,15 to 19 years,Diploma,Certificate II,,105,160,215,120,95
Private training providers,Queensland,15 to 19 years,Diploma,Certificate I,,15,15,10,-,5
Private training providers,Queensland,15 to 19 years,Diploma,Non-AQF level,,55,45,45,85,90
Private training providers,Queensland,15 to 19 years,Certificate IV,Totals,,440,505,530,510,485
Private training providers,Queensland,15 to 19 years,Certificate IV,Advanced diploma,,-,-,-,-,5
Private training providers,Queensland,15 to 19 years,Certificate IV,Diploma,,65,70,85,85,70
Private training providers,Queensland,15 to 19 years,Certificate IV,Certificate IV,,70,110,120,90,85
Private training providers,Queensland,15 to 19 years,Certificate IV,Certificate III,,200,205,210,225,215
Private training providers,Queensland,15 to 19 years,Certificate IV,Certificate II,,65,85,85,60,75
Private training providers,Queensland,15 to 19 years,Certificate IV,Certificate I,,15,10,10,5,5
Private training providers,Queensland,15 to 19 years,Certificate IV,Non-AQF level,,20,25,20,40,35
Private training providers,Queensland,15 to 19 years,Certificate III,Totals,,"6,990","7,230","7,620","6,795","6,550"
Private training providers,Queensland,15 to 19 years,Certificate III,Advanced diploma,,10,5,5,-,5
Private training providers,Queensland,15 to 19 years,Certificate III,Diploma,,915,905,920,960,960
Private training providers,Queensland,15 to 19 years,Certificate III,Certificate IV,,695,710,850,830,745
Private training providers,Queensland,15 to 19 years,Certificate III,Certificate III,,"3,740","3,780","3,935","3,505","3,420"
Private training providers,Queensland,15 to 19 years,Certificate III,Certificate II,,"1,055","1,280","1,335",950,905
Private training providers,Queensland,15 to 19 years,Certificate III,Certificate I,,260,245,235,100,105
Private training providers,Queensland,15 to 19 years,Certificate III,Non-AQF level,,320,300,340,450,410
Private training providers,Queensland,15 to 19 years,Year 12,Totals,,"18,435","16,705","15,300","14,365","14,185"
Private training providers,Queensland,15 to 19 years,Year 12,Advanced diploma,,55,55,25,25,155
Private training providers,Queensland,15 to 19 years,Year 12,Diploma,,920,840,755,810,815
Private training providers,Queensland,15 to 19 years,Year 12,Certificate IV,,"1,205","1,235","1,360","1,525","1,375"
Private training providers,Queensland,15 to 19 years,Year 12,Certificate III,,"12,120","10,625","9,515","8,770","8,425"
Private training providers,Queensland,15 to 19 years,Year 12,Certificate II,,"2,875","2,970","2,585","2,065","2,210"
Private training providers,Queensland,15 to 19 years,Year 12,Certificate I,,625,465,420,305,335
Private training providers,Queensland,15 to 19 years,Year 12,Non-AQF level,,635,515,635,860,865
Private training providers,Queensland,15 to 19 years,Year 11,Totals,,"13,270","15,350","15,365","16,945","19,120"
Private training providers,Queensland,15 to 19 years,Year 11,Advanced diploma,,5,5,-,-,-
Private training providers,Queensland,15 to 19 years,Year 11,Diploma,,795,845,845,770,980
Private training providers,Queensland,15 to 19 years,Year 11,Certificate IV,,305,335,425,475,410
Private training providers,Queensland,15 to 19 years,Year 11,Certificate III,,"5,945","6,840","6,910","8,465","9,570"
Private training providers,Queensland,15 to 19 years,Year 11,Certificate II,,"4,725","5,615","5,515","6,000","6,765"
Private training providers,Queensland,15 to 19 years,Year 11,Certificate I,,"1,100","1,405","1,350",690,760
Private training providers,Queensland,15 to 19 years,Year 11,Non-AQF level,,395,305,320,545,635
Private training providers,Queensland,15 to 19 years,Certificate II,Totals,,"3,560","3,785","4,395","4,110","4,050"
Private training providers,Queensland,15 to 19 years,Certificate II,Diploma,,155,190,315,350,325
Private training providers,Queensland,15 to 19 years,Certificate II,Certificate IV,,35,55,75,75,60
Private training providers,Queensland,15 to 19 years,Certificate II,Certificate III,,"1,535","1,690","2,045","2,160","2,200"
Private training providers,Queensland,15 to 19 years,Certificate II,Certificate II,,"1,465","1,535","1,635","1,315","1,250"
Private training providers,Queensland,15 to 19 years,Certificate II,Certificate I,,320,265,260,110,115
Private training providers,Queensland,15 to 19 years,Certificate II,Non-AQF level,,50,45,70,105,105
Private training providers,Queensland,15 to 19 years,Year 10,Totals,,"35,845","35,990","41,650","41,660","43,980"
Private training providers,Queensland,15 to 19 years,Year 10,Advanced diploma,,15,15,5,-,-
Private training providers,Queensland,15 to 19 years,Year 10,Diploma,,"2,220","2,460","3,135","3,470","4,105"
Private training providers,Queensland,15 to 19 years,Year 10,Certificate IV,,335,450,705,690,670
Private training providers,Queensland,15 to 19 years,Year 10,Certificate III,,"16,555","16,310","17,970","19,365","19,920"
Private training providers,Queensland,15 to 19 years,Year 10,Certificate II,,"13,405","13,505","16,445","14,840","16,370"
Private training providers,Queensland,15 to 19 years,Year 10,Certificate I,,"3,035","3,005","3,085","2,675","2,335"
Private training providers,Queensland,15 to 19 years,Year 10,Non-AQF level,,270,245,305,625,580
Private training providers,Queensland,15 to 19 years,Certificate I,Totals,,460,395,405,370,360
Private training providers,Queensland,15 to 19 years,Certificate I,Diploma,,10,10,15,25,30
Private training providers,Queensland,15 to 19 years,Certificate I,Certificate IV,,-,-,5,10,10
Private training providers,Queensland,15 to 19 years,Certificate I,Certificate III,,190,165,160,170,185
Private training providers,Queensland,15 to 19 years,Certificate I,Certificate II,,140,130,135,120,105
Private training providers,Queensland,15 to 19 years,Certificate I,Certificate I,,115,80,95,40,30
Private training providers,Queensland,15 to 19 years,Certificate I,Non-AQF level,,-,5,-,10,5
Private training providers,Queensland,15 to 19 years,Miscellaneous education,Totals,,225,325,660,760,545
Private training providers,Queensland,15 to 19 years,Miscellaneous education,Advanced diploma,,-,-,-,-,5
Private training providers,Queensland,15 to 19 years,Miscellaneous education,Diploma,,20,35,190,180,80
Private training providers,Queensland,15 to 19 years,Miscellaneous education,Certificate IV,,10,20,35,45,15
Private training providers,Queensland,15 to 19 years,Miscellaneous education,Certificate III,,80,150,245,305,255
Private training providers,Queensland,15 to 19 years,Miscellaneous education,Certificate II,,95,100,150,205,160
Private training providers,Queensland,15 to 19 years,Miscellaneous education,Certificate I,,15,15,35,10,15
Private training providers,Queensland,15 to 19 years,Miscellaneous education,Non-AQF level,,5,5,5,10,20
Private training providers,Queensland,15 to 19 years,Year 9 or lower,Totals,,"13,155","14,935","16,960","17,420","18,830"
Private training providers,Queensland,15 to 19 years,Year 9 or lower,Advanced diploma,,-,-,-,-,5
Private training providers,Queensland,15 to 19 years,Year 9 or lower,Diploma,,305,575,830,"1,130","1,390"
Private training providers,Queensland,15 to 19 years,Year 9 or lower,Certificate IV,,135,135,170,235,215
Private training providers,Queensland,15 to 19 years,Year 9 or lower,Certificate III,,"5,925","6,220","7,155","7,985","8,235"
Private training providers,Queensland,15 to 19 years,Year 9 or lower,Certificate II,,"4,405","5,845","6,635","6,890","7,660"
Private training providers,Queensland,15 to 19 years,Year 9 or lower,Certificate I,,"2,275","2,015","1,995","1,015","1,090"
Private training providers,Queensland,15 to 19 years,Year 9 or lower,Non-AQF level,,115,145,170,160,230
Private training providers,Queensland,15 to 19 years,Did not go to school,Totals,,55,45,70,50,90
Private training providers,Queensland,15 to 19 years,Did not go to school,Certificate IV,,5,-,-,-,-
Private training providers,Queensland,15 to 19 years,Did not go to school,Certificate III,,20,15,20,10,10
Private training providers,Queensland,15 to 19 years,Did not go to school,Certificate II,,30,25,40,25,50
Private training providers,Queensland,15 to 19 years,Did not go to school,Certificate I,,-,-,10,15,25
Private training providers,Queensland,15 to 19 years,Not known,Totals,,"10,145","14,195","15,570","16,770","18,025"
Private training providers,Queensland,15 to 19 years,Not known,Advanced diploma,,25,40,15,20,40
Private training providers,Queensland,15 to 19 years,Not known,Diploma,,455,385,330,215,395
Private training providers,Queensland,15 to 19 years,Not known,Certificate IV,,390,285,225,310,365
Private training providers,Queensland,15 to 19 years,Not known,Certificate III,,"5,175","8,005","9,500","10,915","10,640"
Private training providers,Queensland,15 to 19 years,Not known,Certificate II,,"3,220","4,310","4,255","4,435","5,575"
Private training providers,Queensland,15 to 19 years,Not known,Certificate I,,485,625,750,505,535
Private training providers,Queensland,15 to 19 years,Not known,Non-AQF level,,395,540,495,375,475
Private training providers,South Australia,Totals,,,,"12,835","13,060","15,810","15,160","16,415"
Private training providers,South Australia,15 to 19 years,Totals,,,"12,835","13,060","15,810","15,160","16,415"
Private training providers,South Australia,15 to 19 years,Bachelor degree / Higher degree level,Totals,,15,25,15,15,55
Private training providers,South Australia,15 to 19 years,Bachelor degree / Higher degree level,Diploma,,5,5,-,5,-
Private training providers,South Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate IV,,-,5,5,-,-
Private training providers,South Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,10,10,5,5,35
Private training providers,South Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate II,,-,-,-,-,10
Private training providers,South Australia,15 to 19 years,Bachelor degree / Higher degree level,Non-AQF level,,-,-,-,-,10
Private training providers,South Australia,15 to 19 years,Advanced diploma / Associate degree,Totals,,5,5,15,5,20
Private training providers,South Australia,15 to 19 years,Advanced diploma / Associate degree,Advanced diploma,,-,-,5,-,-
Private training providers,South Australia,15 to 19 years,Advanced diploma / Associate degree,Diploma,,-,-,5,-,-
Private training providers,South Australia,15 to 19 years,Advanced diploma / Associate degree,Certificate III,,-,5,5,5,5
Private training providers,South Australia,15 to 19 years,Advanced diploma / Associate degree,Certificate II,,-,-,-,-,5
Private training providers,South Australia,15 to 19 years,Advanced diploma / Associate degree,Non-AQF level,,-,-,-,-,5
Private training providers,South Australia,15 to 19 years,Diploma,Totals,,55,50,130,65,55
Private training providers,South Australia,15 to 19 years,Diploma,Advanced diploma,,15,20,25,25,5
Private training providers,South Australia,15 to 19 years,Diploma,Diploma,,25,5,85,20,5
Private training providers,South Australia,15 to 19 years,Diploma,Certificate IV,,-,5,5,-,-
Private training providers,South Australia,15 to 19 years,Diploma,Certificate III,,10,15,10,15,30
Private training providers,South Australia,15 to 19 years,Diploma,Certificate II,,-,5,-,-,10
Private training providers,South Australia,15 to 19 years,Diploma,Non-AQF level,,-,-,-,-,5
Private training providers,South Australia,15 to 19 years,Certificate IV,Totals,,15,20,35,35,25
Private training providers,South Australia,15 to 19 years,Certificate IV,Diploma,,-,-,10,10,5
Private training providers,South Australia,15 to 19 years,Certificate IV,Certificate IV,,-,-,10,10,-
Private training providers,South Australia,15 to 19 years,Certificate IV,Certificate III,,10,15,10,15,10
Private training providers,South Australia,15 to 19 years,Certificate IV,Certificate II,,5,-,-,5,5
Private training providers,South Australia,15 to 19 years,Certificate IV,Non-AQF level,,-,-,5,-,5
Private training providers,South Australia,15 to 19 years,Certificate III,Totals,,555,560,705,785,760
Private training providers,South Australia,15 to 19 years,Certificate III,Advanced diploma,,10,-,-,5,10
Private training providers,South Australia,15 to 19 years,Certificate III,Diploma,,85,85,95,125,140
Private training providers,South Australia,15 to 19 years,Certificate III,Certificate IV,,75,75,110,110,90
Private training providers,South Australia,15 to 19 years,Certificate III,Certificate III,,330,320,420,425,390
Private training providers,South Australia,15 to 19 years,Certificate III,Certificate II,,55,60,60,35,45
Private training providers,South Australia,15 to 19 years,Certificate III,Certificate I,,5,10,-,-,-
Private training providers,South Australia,15 to 19 years,Certificate III,Non-AQF level,,5,10,20,85,80
Private training providers,South Australia,15 to 19 years,Year 12,Totals,,"1,995","1,880","2,110","2,555","3,195"
Private training providers,South Australia,15 to 19 years,Year 12,Advanced diploma,,55,15,5,10,110
Private training providers,South Australia,15 to 19 years,Year 12,Diploma,,250,160,190,195,250
Private training providers,South Australia,15 to 19 years,Year 12,Certificate IV,,125,180,210,175,220
Private training providers,South Australia,15 to 19 years,Year 12,Certificate III,,"1,350","1,340","1,470","1,840","2,125"
Private training providers,South Australia,15 to 19 years,Year 12,Certificate II,,185,135,165,135,255
Private training providers,South Australia,15 to 19 years,Year 12,Certificate I,,15,15,10,5,10
Private training providers,South Australia,15 to 19 years,Year 12,Non-AQF level,,15,35,65,195,220
Private training providers,South Australia,15 to 19 years,Year 11,Totals,,"2,425","2,335","2,575","2,475","2,650"
Private training providers,South Australia,15 to 19 years,Year 11,Advanced diploma,,5,5,5,5,5
Private training providers,South Australia,15 to 19 years,Year 11,Diploma,,35,35,20,45,40
Private training providers,South Australia,15 to 19 years,Year 11,Certificate IV,,45,65,80,80,45
Private training providers,South Australia,15 to 19 years,Year 11,Certificate III,,"1,825","1,740","1,900","1,800","1,965"
Private training providers,South Australia,15 to 19 years,Year 11,Certificate II,,380,430,440,375,425
Private training providers,South Australia,15 to 19 years,Year 11,Certificate I,,130,45,115,50,45
Private training providers,South Australia,15 to 19 years,Year 11,Non-AQF level,,5,15,20,125,130
Private training providers,South Australia,15 to 19 years,Certificate II,Totals,,180,215,255,210,205
Private training providers,South Australia,15 to 19 years,Certificate II,Diploma,,-,5,10,-,-
Private training providers,South Australia,15 to 19 years,Certificate II,Certificate IV,,-,5,5,-,-
Private training providers,South Australia,15 to 19 years,Certificate II,Certificate III,,145,160,185,140,140
Private training providers,South Australia,15 to 19 years,Certificate II,Certificate II,,30,40,50,55,50
Private training providers,South Australia,15 to 19 years,Certificate II,Certificate I,,-,5,5,-,-
Private training providers,South Australia,15 to 19 years,Certificate II,Non-AQF level,,-,-,5,10,15
Private training providers,South Australia,15 to 19 years,Year 10,Totals,,"2,920","3,170","3,820","3,505","3,950"
Private training providers,South Australia,15 to 19 years,Year 10,Advanced diploma,,-,-,-,-,5
Private training providers,South Australia,15 to 19 years,Year 10,Diploma,,15,15,25,25,25
Private training providers,South Australia,15 to 19 years,Year 10,Certificate IV,,20,40,45,40,30
Private training providers,South Australia,15 to 19 years,Year 10,Certificate III,,"1,690","1,955","2,365","2,175","2,535"
Private training providers,South Australia,15 to 19 years,Year 10,Certificate II,,920,965,"1,070","1,125","1,150"
Private training providers,South Australia,15 to 19 years,Year 10,Certificate I,,270,190,300,15,45
Private training providers,South Australia,15 to 19 years,Year 10,Non-AQF level,,-,5,15,120,155
Private training providers,South Australia,15 to 19 years,Certificate I,Totals,,10,15,20,20,20
Private training providers,South Australia,15 to 19 years,Certificate I,Certificate III,,5,10,10,10,15
Private training providers,South Australia,15 to 19 years,Certificate I,Certificate II,,5,5,10,10,5
Private training providers,South Australia,15 to 19 years,Certificate I,Certificate I,,-,5,-,-,-
Private training providers,South Australia,15 to 19 years,Miscellaneous education,Totals,,10,10,10,20,35
Private training providers,South Australia,15 to 19 years,Miscellaneous education,Certificate III,,-,5,5,10,20
Private training providers,South Australia,15 to 19 years,Miscellaneous education,Certificate II,,5,10,5,5,5
Private training providers,South Australia,15 to 19 years,Miscellaneous education,Non-AQF level,,-,-,-,5,5
Private training providers,South Australia,15 to 19 years,Year 9 or lower,Totals,,"1,650","1,760","2,075","1,795","2,080"
Private training providers,South Australia,15 to 19 years,Year 9 or lower,Diploma,,10,5,5,10,5
Private training providers,South Australia,15 to 19 years,Year 9 or lower,Certificate IV,,15,15,15,15,15
Private training providers,South Australia,15 to 19 years,Year 9 or lower,Certificate III,,775,"1,075","1,335","1,235","1,560"
Private training providers,South Australia,15 to 19 years,Year 9 or lower,Certificate II,,710,555,635,465,405
Private training providers,South Australia,15 to 19 years,Year 9 or lower,Certificate I,,140,105,80,30,45
Private training providers,South Australia,15 to 19 years,Year 9 or lower,Non-AQF level,,-,-,5,40,55
Private training providers,South Australia,15 to 19 years,Did not go to school,Totals,,-,-,-,5,5
Private training providers,South Australia,15 to 19 years,Not known,Totals,,"3,000","3,020","4,045","3,670","3,360"
Private training providers,South Australia,15 to 19 years,Not known,Advanced diploma,,-,5,5,10,30
Private training providers,South Australia,15 to 19 years,Not known,Diploma,,40,30,25,45,75
Private training providers,South Australia,15 to 19 years,Not known,Certificate IV,,90,110,100,130,110
Private training providers,South Australia,15 to 19 years,Not known,Certificate III,,"2,120","2,260","2,875","2,750","2,360"
Private training providers,South Australia,15 to 19 years,Not known,Certificate II,,505,475,645,575,725
Private training providers,South Australia,15 to 19 years,Not known,Certificate I,,245,130,385,130,35
Private training providers,South Australia,15 to 19 years,Not known,Non-AQF level,,-,10,10,30,30
Private training providers,Western Australia,Totals,,,,"63,685","73,500","70,310","69,715","60,580"
Private training providers,Western Australia,15 to 19 years,Totals,,,"63,685","73,500","70,310","69,715","60,580"
Private training providers,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Totals,,30,40,15,30,60
Private training providers,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Diploma,,-,5,-,-,-
Private training providers,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate IV,,5,5,-,5,-
Private training providers,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate III,,5,5,5,10,15
Private training providers,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Certificate II,,20,30,10,15,40
Private training providers,Western Australia,15 to 19 years,Bachelor degree / Higher degree level,Non-AQF level,,-,-,5,-,5
Private training providers,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Totals,,10,10,10,15,20
Private training providers,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Certificate IV,,5,-,-,-,-
Private training providers,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Certificate III,,-,5,5,5,-
Private training providers,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Certificate II,,-,5,-,5,15
Private training providers,Western Australia,15 to 19 years,Advanced diploma / Associate degree,Non-AQF level,,-,-,5,-,-
Private training providers,Western Australia,15 to 19 years,Diploma,Totals,,95,105,65,65,90
Private training providers,Western Australia,15 to 19 years,Diploma,Graduate diploma,,5,-,5,5,5
Private training providers,Western Australia,15 to 19 years,Diploma,Advanced diploma,,-,5,-,-,5
Private training providers,Western Australia,15 to 19 years,Diploma,Diploma,,10,10,5,5,10
Private training providers,Western Australia,15 to 19 years,Diploma,Certificate IV,,15,15,15,10,10
Private training providers,Western Australia,15 to 19 years,Diploma,Certificate III,,25,35,20,15,20
Private training providers,Western Australia,15 to 19 years,Diploma,Certificate II,,30,35,10,20,15
Private training providers,Western Australia,15 to 19 years,Diploma,Non-AQF level,,10,5,10,10,25
Private training providers,Western Australia,15 to 19 years,Certificate IV,Totals,,190,205,240,290,260
Private training providers,Western Australia,15 to 19 years,Certificate IV,Advanced diploma,,-,5,5,5,-
Private training providers,Western Australia,15 to 19 years,Certificate IV,Diploma,,35,20,20,40,40
Private training providers,Western Australia,15 to 19 years,Certificate IV,Certificate IV,,40,35,40,40,50
Private training providers,Western Australia,15 to 19 years,Certificate IV,Certificate III,,55,65,70,85,60
Private training providers,Western Australia,15 to 19 years,Certificate IV,Certificate II,,40,55,50,55,45
Private training providers,Western Australia,15 to 19 years,Certificate IV,Non-AQF level,,20,25,55,70,65
Private training providers,Western Australia,15 to 19 years,Certificate III,Totals,,"1,255","1,580","1,435","1,670","1,735"
Private training providers,Western Australia,15 to 19 years,Certificate III,Advanced diploma,,-,-,-,5,-
Private training providers,Western Australia,15 to 19 years,Certificate III,Diploma,,100,125,65,75,125
Private training providers,Western Australia,15 to 19 years,Certificate III,Certificate IV,,375,500,415,705,760
Private training providers,Western Australia,15 to 19 years,Certificate III,Certificate III,,425,430,505,430,505
Private training providers,Western Australia,15 to 19 years,Certificate III,Certificate II,,290,435,355,325,230
Private training providers,Western Australia,15 to 19 years,Certificate III,Certificate I,,15,15,5,-,-
Private training providers,Western Australia,15 to 19 years,Certificate III,Non-AQF level,,55,80,95,130,115
Private training providers,Western Australia,15 to 19 years,Year 12,Totals,,"3,980","4,765","4,965","5,095","5,105"
Private training providers,Western Australia,15 to 19 years,Year 12,Graduate diploma,,5,-,-,-,-
Private training providers,Western Australia,15 to 19 years,Year 12,Advanced diploma,,20,25,20,35,95
Private training providers,Western Australia,15 to 19 years,Year 12,Diploma,,305,345,315,345,355
Private training providers,Western Australia,15 to 19 years,Year 12,Certificate IV,,430,500,485,450,565
Private training providers,Western Australia,15 to 19 years,Year 12,Certificate III,,"2,255","2,625","3,095","3,100","2,950"
Private training providers,Western Australia,15 to 19 years,Year 12,Certificate II,,760,880,615,570,450
Private training providers,Western Australia,15 to 19 years,Year 12,Certificate I,,40,20,20,25,20
Private training providers,Western Australia,15 to 19 years,Year 12,Non-AQF level,,165,370,415,570,670
Private training providers,Western Australia,15 to 19 years,Year 11,Totals,,"16,775","25,090","18,970","18,585","15,610"
Private training providers,Western Australia,15 to 19 years,Year 11,Advanced diploma,,-,5,-,-,5
Private training providers,Western Australia,15 to 19 years,Year 11,Diploma,,90,75,65,60,100
Private training providers,Western Australia,15 to 19 years,Year 11,Certificate IV,,"1,720","1,775","1,860","2,155","2,170"
Private training providers,Western Australia,15 to 19 years,Year 11,Certificate III,,"3,875","5,235","4,670","5,285","4,705"
Private training providers,Western Australia,15 to 19 years,Year 11,Certificate II,,"10,855","17,725","12,120","10,630","8,160"
Private training providers,Western Australia,15 to 19 years,Year 11,Certificate I,,205,190,160,150,185
Private training providers,Western Australia,15 to 19 years,Year 11,Non-AQF level,,30,80,90,300,285
Private training providers,Western Australia,15 to 19 years,Certificate II,Totals,,960,"1,325","1,250","1,155",995
Private training providers,Western Australia,15 to 19 years,Certificate II,Diploma,,5,5,5,5,5
Private training providers,Western Australia,15 to 19 years,Certificate II,Certificate IV,,90,210,180,145,135
Private training providers,Western Australia,15 to 19 years,Certificate II,Certificate III,,460,515,540,475,405
Private training providers,Western Australia,15 to 19 years,Certificate II,Certificate II,,370,565,490,505,410
Private training providers,Western Australia,15 to 19 years,Certificate II,Certificate I,,25,25,15,10,10
Private training providers,Western Australia,15 to 19 years,Certificate II,Non-AQF level,,5,10,15,15,30
Private training providers,Western Australia,15 to 19 years,Year 10,Totals,,"28,490","33,520","35,820","32,785","25,240"
Private training providers,Western Australia,15 to 19 years,Year 10,Advanced diploma,,5,5,-,-,-
Private training providers,Western Australia,15 to 19 years,Year 10,Diploma,,80,80,80,85,90
Private training providers,Western Australia,15 to 19 years,Year 10,Certificate IV,,485,645,915,970,"1,180"
Private training providers,Western Australia,15 to 19 years,Year 10,Certificate III,,"4,705","5,890","6,970","7,655","6,525"
Private training providers,Western Australia,15 to 19 years,Year 10,Certificate II,,"22,660","26,395","27,315","23,465","16,720"
Private training providers,Western Australia,15 to 19 years,Year 10,Certificate I,,530,445,465,375,490
Private training providers,Western Australia,15 to 19 years,Year 10,Non-AQF level,,20,55,70,235,235
Private training providers,Western Australia,15 to 19 years,Certificate I,Totals,,130,120,125,110,120
Private training providers,Western Australia,15 to 19 years,Certificate I,Certificate IV,,5,10,5,10,5
Private training providers,Western Australia,15 to 19 years,Certificate I,Certificate III,,15,15,30,25,35
Private training providers,Western Australia,15 to 19 years,Certificate I,Certificate II,,80,70,60,60,50
Private training providers,Western Australia,15 to 19 years,Certificate I,Certificate I,,30,20,30,20,25
Private training providers,Western Australia,15 to 19 years,Certificate I,Non-AQF level,,-,-,-,-,5
Private training providers,Western Australia,15 to 19 years,Miscellaneous education,Totals,,175,180,335,320,415
Private training providers,Western Australia,15 to 19 years,Miscellaneous education,Diploma,,-,-,5,-,5
Private training providers,Western Australia,15 to 19 years,Miscellaneous education,Certificate IV,,5,5,15,10,15
